"INCLUDE (Yes/No)","NAME","PRICE","NOTES","Category","Metal Colour","TMC Original Name","TMC Price (AUD ref)","Image File","Image Path","TMC Handle"
"","","","","Engagement","Yellow Gold","The Amira Ring™ - Oval with Marquise Accents","1280.00","yellow.jpg","images/the-amira-ring-1/yellow.jpg","the-amira-ring-1"
"","","","","Engagement","White Gold","The Amira Ring™ - Oval with Marquise Accents","1280.00","","","the-amira-ring-1"
"","","","","Engagement","Rose Gold","The Amira Ring™ - Oval with Marquise Accents","1280.00","rose.jpg","images/the-amira-ring-1/rose.jpg","the-amira-ring-1"
"","","","","Engagement","Yellow Gold","The Luise Ring® - Oval Solitaire","831.00","yellow.jpg","images/the-luise-ring-oval-solitaire/yellow.jpg","the-luise-ring-oval-solitaire"
"","","","","Engagement","White Gold","The Luise Ring® - Oval Solitaire","831.00","white.jpg","images/the-luise-ring-oval-solitaire/white.jpg","the-luise-ring-oval-solitaire"
"","","","","Engagement","Rose Gold","The Luise Ring® - Oval Solitaire","831.00","rose.jpg","images/the-luise-ring-oval-solitaire/rose.jpg","the-luise-ring-oval-solitaire"
"","","","","Engagement","Yellow Gold","The Audrey Ring - Emerald Solitaire","825.00","yellow.jpg","images/the-audrey-ring-emerald-solitaire/yellow.jpg","the-audrey-ring-emerald-solitaire"
"","","","","Engagement","White Gold","The Audrey Ring - Emerald Solitaire","825.00","white.jpg","images/the-audrey-ring-emerald-solitaire/white.jpg","the-audrey-ring-emerald-solitaire"
"","","","","Engagement","Rose Gold","The Audrey Ring - Emerald Solitaire","825.00","rose.jpg","images/the-audrey-ring-emerald-solitaire/rose.jpg","the-audrey-ring-emerald-solitaire"
"","","","","Engagement","Yellow Gold","The Vienna Ring - Radiant Solitaire","825.00","yellow.jpg","images/the-vienna-ring-radiant-solitaire/yellow.jpg","the-vienna-ring-radiant-solitaire"
"","","","","Engagement","White Gold","The Vienna Ring - Radiant Solitaire","825.00","white.jpg","images/the-vienna-ring-radiant-solitaire/white.jpg","the-vienna-ring-radiant-solitaire"
"","","","","Engagement","Rose Gold","The Vienna Ring - Radiant Solitaire","825.00","rose.jpg","images/the-vienna-ring-radiant-solitaire/rose.jpg","the-vienna-ring-radiant-solitaire"
"","","","","Engagement","Yellow Gold","The Florence Ring - Oval and Pear Cathedral Trilogy","1227.00","yellow.jpg","images/the-florence-ring-oval-and-pear-trilogy/yellow.jpg","the-florence-ring-oval-and-pear-trilogy"
"","","","","Engagement","White Gold","The Florence Ring - Oval and Pear Cathedral Trilogy","1227.00","white.jpg","images/the-florence-ring-oval-and-pear-trilogy/white.jpg","the-florence-ring-oval-and-pear-trilogy"
"","","","","Engagement","Rose Gold","The Florence Ring - Oval and Pear Cathedral Trilogy","1227.00","rose.jpg","images/the-florence-ring-oval-and-pear-trilogy/rose.jpg","the-florence-ring-oval-and-pear-trilogy"
"","","","","Engagement","Yellow Gold","The Avery Ring - Oval With Marquise and Round Brilliant Band","1386.00","yellow.jpg","images/the-avery-ring-oval-with-marquise-and-round-brilliant-band/yellow.jpg","the-avery-ring-oval-with-marquise-and-round-brilliant-band"
