INCLUDE (Yes/No),NAME,PRICE,NOTES,TMC Product Link,Metal Colour,TMC Original Name,TMC Price (AUD ref),TMC Handle
,,,,https://tmcfinejewellers.com/products/the-amira-ring-1,Yellow Gold,The Amira Ring™ - Oval with Marquise Accents,1280.00,the-amira-ring-1
,,,,https://tmcfinejewellers.com/products/the-amira-ring-1,White Gold,The Amira Ring™ - Oval with Marquise Accents,1280.00,the-amira-ring-1
,,,,https://tmcfinejewellers.com/products/the-amira-ring-1,Rose Gold,The Amira Ring™ - Oval with Marquise Accents,1280.00,the-amira-ring-1
,,,,https://tmcfinejewellers.com/products/the-luise-ring-oval-solitaire,Yellow Gold,The Luise Ring® - Oval Solitaire,831.00,the-luise-ring-oval-solitaire
,,,,https://tmcfinejewellers.com/products/the-luise-ring-oval-solitaire,White Gold,The Luise Ring® - Oval Solitaire,831.00,the-luise-ring-oval-solitaire
,,,,https://tmcfinejewellers.com/products/the-luise-ring-oval-solitaire,Rose Gold,The Luise Ring® - Oval Solitaire,831.00,the-luise-ring-oval-solitaire
,,,,https://tmcfinejewellers.com/products/the-audrey-ring-emerald-solitaire,Yellow Gold,The Audrey Ring - Emerald Solitaire,825.00,the-audrey-ring-emerald-solitaire
,,,,https://tmcfinejewellers.com/products/the-audrey-ring-emerald-solitaire,White Gold,The Audrey Ring - Emerald Solitaire,825.00,the-audrey-ring-emerald-solitaire
,,,,https://tmcfinejewellers.com/products/the-audrey-ring-emerald-solitaire,Rose Gold,The Audrey Ring - Emerald Solitaire,825.00,the-audrey-ring-emerald-solitaire
,,,,https://tmcfinejewellers.com/products/the-vienna-ring-radiant-solitaire,Yellow Gold,The Vienna Ring - Radiant Solitaire,825.00,the-vienna-ring-radiant-solitaire
,,,,https://tmcfinejewellers.com/products/the-vienna-ring-radiant-solitaire,White Gold,The Vienna Ring - Radiant Solitaire,825.00,the-vienna-ring-radiant-solitaire
,,,,https://tmcfinejewellers.com/products/the-vienna-ring-radiant-solitaire,Rose Gold,The Vienna Ring - Radiant Solitaire,825.00,the-vienna-ring-radiant-solitaire
,,,,https://tmcfinejewellers.com/products/the-florence-ring-oval-and-pear-trilogy,Yellow Gold,The Florence Ring - Oval and Pear Cathedral Trilogy,1227.00,the-florence-ring-oval-and-pear-trilogy
,,,,https://tmcfinejewellers.com/products/the-florence-ring-oval-and-pear-trilogy,White Gold,The Florence Ring - Oval and Pear Cathedral Trilogy,1227.00,the-florence-ring-oval-and-pear-trilogy
,,,,https://tmcfinejewellers.com/products/the-florence-ring-oval-and-pear-trilogy,Rose Gold,The Florence Ring - Oval and Pear Cathedral Trilogy,1227.00,the-florence-ring-oval-and-pear-trilogy
,,,,https://tmcfinejewellers.com/products/the-avery-ring-oval-with-marquise-and-round-brilliant-band,Yellow Gold,The Avery Ring - Oval With Marquise and Round Brilliant Band,1386.00,the-avery-ring-oval-with-marquise-and-round-brilliant-band
,,,,https://tmcfinejewellers.com/products/the-avery-ring-oval-with-marquise-and-round-brilliant-band,White Gold,The Avery Ring - Oval With Marquise and Round Brilliant Band,1386.00,the-avery-ring-oval-with-marquise-and-round-brilliant-band
,,,,https://tmcfinejewellers.com/products/the-avery-ring-oval-with-marquise-and-round-brilliant-band,Rose Gold,The Avery Ring - Oval With Marquise and Round Brilliant Band,1386.00,the-avery-ring-oval-with-marquise-and-round-brilliant-band
,,,,https://tmcfinejewellers.com/products/the-luise-ring-oval-cathedral-solitaire,Yellow Gold,The Luise Ring® - Oval Cathedral Solitaire,910.00,the-luise-ring-oval-cathedral-solitaire
,,,,https://tmcfinejewellers.com/products/the-luise-ring-oval-cathedral-solitaire,White Gold,The Luise Ring® - Oval Cathedral Solitaire,910.00,the-luise-ring-oval-cathedral-solitaire
,,,,https://tmcfinejewellers.com/products/the-luise-ring-oval-cathedral-solitaire,Rose Gold,The Luise Ring® - Oval Cathedral Solitaire,910.00,the-luise-ring-oval-cathedral-solitaire
,,,,https://tmcfinejewellers.com/products/the-ophelia-ring-elongated-cushion-solitaire,Yellow Gold,The Ophelia Ring - Elongated Cushion Solitaire,841.00,the-ophelia-ring-elongated-cushion-solitaire
,,,,https://tmcfinejewellers.com/products/the-ophelia-ring-elongated-cushion-solitaire,White Gold,The Ophelia Ring - Elongated Cushion Solitaire,841.00,the-ophelia-ring-elongated-cushion-solitaire
,,,,https://tmcfinejewellers.com/products/the-ophelia-ring-elongated-cushion-solitaire,Rose Gold,The Ophelia Ring - Elongated Cushion Solitaire,841.00,the-ophelia-ring-elongated-cushion-solitaire
,,,,https://tmcfinejewellers.com/products/low-set-luise-ring-oval-solitaire,Yellow Gold,The Luise Ring® - Low Set Oval Solitaire,831.00,low-set-luise-ring-oval-solitaire
,,,,https://tmcfinejewellers.com/products/low-set-luise-ring-oval-solitaire,White Gold,The Luise Ring® - Low Set Oval Solitaire,831.00,low-set-luise-ring-oval-solitaire
,,,,https://tmcfinejewellers.com/products/low-set-luise-ring-oval-solitaire,Rose Gold,The Luise Ring® - Low Set Oval Solitaire,831.00,low-set-luise-ring-oval-solitaire
,,,,https://tmcfinejewellers.com/products/the-arie-ring-marquise-cut-solitaire,Yellow Gold,The Arie Ring - Marquise Solitaire,831.00,the-arie-ring-marquise-cut-solitaire
,,,,https://tmcfinejewellers.com/products/the-arie-ring-marquise-cut-solitaire,White Gold,The Arie Ring - Marquise Solitaire,831.00,the-arie-ring-marquise-cut-solitaire
,,,,https://tmcfinejewellers.com/products/the-arie-ring-marquise-cut-solitaire,Rose Gold,The Arie Ring - Marquise Solitaire,831.00,the-arie-ring-marquise-cut-solitaire
,,,,https://tmcfinejewellers.com/products/the-maya-ring-pear-ascend-signature-solitaire,Yellow Gold,The Maya Ring - Pear Curved Solitaire,921.00,the-maya-ring-pear-ascend-signature-solitaire
,,,,https://tmcfinejewellers.com/products/the-maya-ring-pear-ascend-signature-solitaire,White Gold,The Maya Ring - Pear Curved Solitaire,921.00,the-maya-ring-pear-ascend-signature-solitaire
,,,,https://tmcfinejewellers.com/products/the-maya-ring-pear-ascend-signature-solitaire,Rose Gold,The Maya Ring - Pear Curved Solitaire,921.00,the-maya-ring-pear-ascend-signature-solitaire
,,,,https://tmcfinejewellers.com/products/the-isla-ring-round-solitaire-new,Yellow Gold,The Isla Ring - Round Solitaire,831.00,the-isla-ring-round-solitaire-new
,,,,https://tmcfinejewellers.com/products/the-isla-ring-round-solitaire-new,White Gold,The Isla Ring - Round Solitaire,831.00,the-isla-ring-round-solitaire-new
,,,,https://tmcfinejewellers.com/products/the-isla-ring-round-solitaire-new,Rose Gold,The Isla Ring - Round Solitaire,831.00,the-isla-ring-round-solitaire-new
,,,,https://tmcfinejewellers.com/products/the-sophia-ring-4-claw-pear-solitaire,Yellow Gold,The Sophia Ring - Pear Solitaire,841.00,the-sophia-ring-4-claw-pear-solitaire
,,,,https://tmcfinejewellers.com/products/the-sophia-ring-4-claw-pear-solitaire,White Gold,The Sophia Ring - Pear Solitaire,841.00,the-sophia-ring-4-claw-pear-solitaire
